Country,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Total score,Region,Cluster,Income group,Political regime,2023,2024
India,45.27,33.91,77.3,18.92,30.86,58.83,7.39,30.36,Asia-Pacific,Waking up,Lower middle,Electoral autocracy,3638489096033.86,3912686168582.21
Switzerland,25.63,78.43,44.14,38.24,23.11,12.18,7.76,30.25,Europe,Rising stars,High,Liberal democracy,894424821645.205,936564198048.516
Sweden,28.21,75.19,66.77,27.61,17.81,40.35,4.51,29.85,Europe,Waking up,High,Liberal democracy,585489968189.064,610117791237.089
Hong Kong,17.56,96.11,59.5,31.51,8.63,33.29,5.3,29.11,Asia-Pacific,Waking up,High,Electoral democracy,381066399066.208,407106738445.069
Spain,17.61,73.32,75.36,18.6,10.87,91.28,3.08,26.95,Europe,Rising stars,High,Liberal democracy,1620090734956.89,1722745978335.16
Austria,16.97,64.49,76.3,23.56,17.81,72.14,3.08,26.89,Europe,Waking up,High,Electoral democracy,511685203845.001,521642466921.745
Estonia,18.74,63.65,88.67,11.75,9.31,72.08,12.51,26.6,Europe,Waking up,High,Liberal democracy,41291245222.1948,42764929169.3258
Norway,27.61,76.2,36.65,21.18,13.56,59.05,3.95,25.77,Europe,Waking up,High,Liberal democracy,482949731776.587,483727398216.364
Saudi Arabia,4.49,70.8,100.0,13.63,14.38,91.63,4.73,25.6,Middle East,Waking up,High,Closed autocracy,1218584533333.33,1237529866666.67
Belgium,15.17,65.1,64.08,22.15,19.81,63.58,5.31,25.52,Europe,Waking up,High,Liberal democracy,644655275111.58,664564181486.953
Poland,14.21,70.96,99.56,10.6,9.09,78.14,2.25,25.2,Europe,Waking up,High,Electoral democracy,812451128978.58,914696430325.391
Slovenia,13.02,72.06,94.55,19.1,1.06,80.38,0.61,25.19,Europe,Waking up,High,Electoral democracy,69148468417.3208,72485008929.2766
New Zealand,23.3,69.78,90.35,12.23,5.96,47.62,2.49,24.88,Asia-Pacific,Waking up,High,Liberal democracy,255194972673.122,260235932558.996
Italy,11.09,64.76,83.25,20.3,14.66,61.43,2.64,24.45,Europe,Waking up,High,Liberal democracy,2304605139862.79,2372774547793.12
Russia,12.46,62.59,52.85,14.21,19.48,90.4,1.38,21.99,Europe,Waking up,Upper middle,Electoral autocracy,2071505725030.58,2173835806671.66
Malta,15.87,67.12,70.96,5.96,11.72,70.49,4.3,21.85,Europe,Waking up,High,Electoral democracy,22210718401.0207,24322006607.9295
United Arab Emirates,2.65,79.16,72.12,5.13,15.53,81.38,3.22,21.17,Middle East,Waking up,High,Closed autocracy,514130432648.06,537078829135.466
Portugal,13.43,64.2,80.66,8.96,3.92,70.69,2.05,20.89,Europe,Waking up,High,Electoral democracy,289696962620.235,308683317392.68
Czech Republic,11.11,64.26,76.97,11.26,2.7,70.29,1.75,20.31,Europe,Waking up,High,Electoral democracy,343206568134.637,345036675975.047
Iceland,18.45,72.45,41.19,18.29,0.19,22.15,5.74,19.81,Europe,Waking up,High,Liberal democracy,31452223861.9091,33462807982.85
Lithuania,14.3,63.19,80.67,3.22,6.18,64.28,1.77,19.59,Europe,Waking up,High,Electoral democracy,79789877416.1681,84869215513.3648
Brazil,13.46,62.61,72.82,4.83,5.07,67.72,1.36,18.89,Americas,Waking up,Upper middle,Electoral democracy,2191131765684.63,2179412080828.59
Greece,7.62,55.44,83.58,15.12,2.21,22.15,0.92,17.33,Europe,Waking up,High,Liberal democracy,243498333237.802,257144811301.673
Slovakia,8.55,65.36,88.71,2.97,0.34,43.07,0.67,17.24,Europe,Waking up,High,Electoral democracy,133896931490.224,141775733420.114
Hungary,10.34,69.17,58.01,4.31,5.4,55.01,1.08,17.0,Europe,Waking up,High,Electoral autocracy,214022571311.24,222904723252.11
Malaysia,10.44,62.04,73.24,5.57,0.88,47.6,0.63,16.66,Asia-Pacific,Waking up,Upper middle,Electoral autocracy,399705137434.074,421972102253.57
Mexico,1.72,41.85,97.03,8.11,4.46,54.21,0.78,15.48,Americas,Waking up,Upper middle,Electoral democracy,1793798859343.27,1852722885258.11
Chile,10.56,61.97,56.73,1.49,0.67,60.5,2.95,15.33,Americas,Waking up,High,Liberal democracy,335518054097.637,330267137371.592
Argentina,8.4,56.15,75.95,1.25,3.19,54.94,0.34,15.24,Americas,Waking up,Upper middle,Electoral democracy,646075277525.125,633266692533.689
Qatar,0.0,67.97,62.58,11.94,0.0,33.49,0.0,14.66,Middle East,Waking up,High,Closed autocracy,213002809340.659,217982967032.967
Turkey,8.49,40.74,64.34,9.53,1.02,67.45,0.95,14.39,Europe,Waking up,High,Electoral democracy,1118252958513.72,1323254808058.74
Colombia,4.97,54.8,62.37,0.0,0.89,85.29,0.5,13.85,Americas,Waking up,Upper middle,Electoral democracy,366291836137.916,418542042920.189
Uruguay,7.28,58.77,70.75,0.73,0.26,30.92,0.43,13.27,Americas,Waking up,High,Liberal democracy,77991666837.7382,80961511073.5797
Bahrain,4.99,60.39,60.9,2.53,0.0,17.72,0.24,11.79,Middle East,Waking up,High,Closed autocracy,46192260638.2979,47736702127.6596
Vietnam,6.34,55.76,37.61,2.03,0.3,68.86,0.31,11.62,Asia-Pacific,Waking up,Lower middle,Closed autocracy,433857681378.291,476388230307.175
Indonesia,5.51,47.52,51.18,0.98,3.52,59.99,0.91,11.47,Asia-Pacific,Waking up,Lower middle,Electoral democracy,1371169301563.62,1396300098190.97
Tunisia,8.94,38.59,62.32,3.9,0.0,12.18,0.15,9.87,Africa,Waking up,Lower middle,Electoral democracy,48196281783.9479,53409988744.5968
South Africa,4.61,45.73,58.43,0.83,7.52,0.0,2.03,9.71,Africa,Waking up,Upper middle,Electoral democracy,380699271816.395,400260724226.067
Morocco,3.36,44.88,60.17,1.46,0.05,15.9,0.1,8.87,Africa,Waking up,Lower middle,Closed autocracy,144417103249.646,154430996472.752
Armenia,6.69,37.84,58.4,0.28,0.33,14.4,1.37,8.49,Europe,Waking up,Upper middle,Electoral democracy,24085749592.3359,25786585949.6346
Sri Lanka,6.27,34.64,35.79,0.12,0.95,35.57,0.09,6.62,Asia-Pacific,Nascent,Lower middle,Electoral democracy,83716142582.1945,98963185509.6499
Egypt,1.11,38.84,0.0,2.08,1.54,68.72,0.31,4.83,Middle East,Nascent,Lower middle,Electoral autocracy,395926075163.006,389059911003.566
Kenya,0.75,14.11,29.84,0.07,12.15,7.75,0.31,2.3,Africa,Nascent,Lower middle,Electoral autocracy,108038588970.595,124498691699.125
Nigeria,2.74,0.0,50.1,0.45,2.06,7.75,0.33,1.38,Africa,Nascent,Lower middle,Electoral autocracy,363846332834.618,187759703099.801
Pakistan,8.0,2.43,12.48,2.17,1.09,13.92,0.27,0.0,Asia-Pacific,Nascent,Lower middle,Electoral autocracy,337885531778.052,373071855731.539
